,path,language,sentence
1426,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0000.mp3,ind,bab jang ketiga peri meriwajatkan pertjakapan jang boléh mendatangkan keroegian besar kepada phileas fogg
1427,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0001.mp3,ind,djam poekoel setengah doea belas phileas fogg meninggalkan roemahnja di saville row
1428,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0003.mp3,ind,setelah lima ratoes toedjoeh poeloeh lima kali ia melangkahkan kaki kanannja kedepan kaki kirinja dan lima ratoes toedjoeh poeloeh enam kali poela melangkahkan kaki kirinja kedepan kaki kanannja
1429,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0005.mp3,ind,jaitoe seboeah roemah jang telah didirikan dengan belandja ta  koerang dari pada tiga djoeta pond oeang soekoe emas inggeris banjaknja
1430,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0006.mp3,ind,phileas fogg teroes menoedjoe kekamar makan
1431,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0007.mp3,ind,disitoe adalah sembilan boeah djendéla
1432,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0008.mp3,ind,semoeanja menghadap kepada seboeah keboen jang penoeh dengan pohon pohon jang koening roepanja
1433,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0009.mp3,ind,sebab hari soedah moelai moesim dingin
1434,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0010.mp3,ind,maka doedoeklah phileas fogg dekat médja makan
1435,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0011.mp3,ind,diatas médja itoe telah tersadji makanannja
1436,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0013.mp3,ind,ikan goréng dengan koeah
1437,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0014.mp3,ind,daging bestik dengan tjendawan
1438,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0015.mp3,ind,koeé berisi tangkai rabarber  sematjam tanam tanaman  dan kruibes  boeah boeahan  dengan kédjoe chester beserta satoe atau doea mangkoek air téh
1439,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0016.mp3,ind,maka téh itoe sengadja dipesan dari negeri tjina
1440,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0017.mp3,ind,poekoel satoe koerang tiga belas menit berdirilah phileas fogg
1441,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0018.mp3,ind,laloe pergi menoedjoe seboeah bilik besar jang amat indah
1442,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0019.mp3,ind,terhias dengan gambar gambar jang berbingkai indah indah sekali
1443,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0020.mp3,ind,maka datanglah seorang boedjang membawa soerat kabar times jang beloem terboeka dan diletakkannja soerat kabar itoe didepan phileas fogg
1444,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0021.mp3,ind,phileas foggpoen laloe memboeka soerat kabar itoe hingga poekoel tiga lebih seperempat
1445,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0022.mp3,ind,kemoedian dibatjanja poela soerat kabar daily telegraph hingga kepada waktoe makan petang hari
1446,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0024.mp3,ind,hanja ditambah dengan boeah jang masjhoer ditanah inggeris
1447,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0025.mp3,ind,djam poekoel enam koerang doea poeloeh menit pergilah ia kebilik besar jang terseboet tadi akan membatja soerat kabar morning chronicle
1448,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0026.mp3,ind,selang setengah djam datanglah beberapa anggota reform club jang lain lain dan semoeanja laloe doedoek dikeliling perapian dalam bilik itoe
1449,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0027.mp3,ind,toean toean itoe semoeanja teman phileas fogg bermain whist
1450,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0028.mp3,ind,jaitoe insinjoer andrew stuart
1451,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0029.mp3,ind,toean toean bank john sullivan dan samuel fallentin
1452,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0030.mp3,ind,thomas flanagan toean paberik minoeman dan seorang directeur bank inggeris  gauthier ralph namanja
1453,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0031.mp3,ind,sekaliannja orang itoe orang baik baik dan kaja
1454,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0032.mp3,ind,sedang lid lid jang lain lainpoen semoeanja orang jang ternama dalam doenia perniagaan dan peroesahaan
1455,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0033.mp3,ind,maka thomas flanagan bertanjalah kepada seorang sahabatnja  katanja
1456,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0034.mp3,ind,hai ralph  bagaimanakah sekarang hal ketjoerian dibank itoe
1457,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0035.mp3,ind,andrew stuart menjamboeng
1458,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0036.mp3,ind,oeang bank itoe soedah hilang ta  akan terdapat lagi
1459,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0037.mp3,ind,maka djawab gauthier ralph
1460,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0038.mp3,ind,saja ada pikiran lain  saja kira pentjoerinja akan tertangkap djoega
1461,train/indonesian/mengelilingi-doenia-dalam-80-hari/80hari_03_verne_128kb_0039.mp3,ind,soedah beberapa orang inspecteur polisi dikirim ke amérika dan kepelaboehan pelaboehan jang teroetama di eropah
